id,title,autor,score,timestamp,type
27868596,What the Linux Mint developers have pulled off is nothing short of astounding,ramaprasad,1,2021-07-17 20:31:57 UTC,story
27868659,,,,2021-07-17 20:38:43 UTC,story
27868709,Saudi Aramco Leak 1TB,zerox296,1,2021-07-17 20:44:38 UTC,story
27868789,Adding corporate branding to AirPods makes great SWAG / employee gifts,efs_customs_nj,1,2021-07-17 20:54:53 UTC,story
27868881,Bybrand now also offers integration with Google Sheets,bybrand,1,2021-07-17 21:07:11 UTC,story
27868994,CEO Shoptalk – Replacing the CEO,rmason,1,2021-07-17 21:28:26 UTC,story
27869073,Boxabl Homes affordable homes setup in 1 day,Lilteegray,2,2021-07-17 21:41:42 UTC,story
27869078,Creating a Tweet with Node.js,codybontecou,1,2021-07-17 21:42:02 UTC,story
27869180,The State of Developer Ecosystem in 2021 Infographic,kjhughes,3,2021-07-17 22:01:38 UTC,story
27869192,Vienna Is the New Havana Syndrome Hot Spot,sharjeelsayed,1,2021-07-17 22:04:32 UTC,story
27869205,How to Create an Aliexpress Dropshipping Store Using Shopify and Oberlo,thesuccessmade,1,2021-07-17 22:06:44 UTC,story
27869376,Vienna Is the New Havana Syndrome Hot Spot,fortran77,1,2021-07-17 22:41:15 UTC,story
27869393,Marketing,0598800264,1,2021-07-17 22:43:50 UTC,story
27869455,"Eosio DAO Legal in Wyoming, 49 to Go",robertodelrio,1,2021-07-17 22:57:01 UTC,story
27869471,Finney Wins Collect.Social Vote,robertodelrio,1,2021-07-17 23:00:44 UTC,story
27869486,Cable Types Meaning or Nomenclature,mardiyah,1,2021-07-17 23:02:50 UTC,story
27869569,,,,2021-07-17 23:18:09 UTC,story
27869601,Total Self Control – Take Control of Your Life Self_Help – Maiyro,hsms,1,2021-07-17 23:24:15 UTC,story
27869644,Show HN: Video preview of $NEUY AI proof of contribution apps,neuy,1,2021-07-17 23:33:00 UTC,story
2786966,,,,2011-07-20 19:02:58 UTC,story
27869684,Crazy 4 for UX design wireframes,nikitisza,1,2021-07-17 23:42:00 UTC,story
27869785,Ask HN: What are Ripple alternatives for building cross border payment service?,vaypa-amogh,1,2021-07-18 00:08:49 UTC,story
27869787,Bitcoin for Beginners Crash Course,allobell,1,2021-07-18 00:09:22 UTC,story
27869809,Five Limiting Beliefs That Prevent You from Buying Bitcoin,robertodelrio,1,2021-07-18 00:14:35 UTC,story
